ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
واحد,jedan,един,un,一个,一個,jedan,jeden,en,een,one,üks,yksi,un,eine,ένα,yonn,אחד,एक,ib tug,egy,salah satu,uno,1 つ,moja,wa',,하나,viens,vienas,salah satu,wieħed,jump'éel,en,'na,یکی,jeden,um,unul,один,један,jedan,jeden,ena,uno,en,หนึ่ง,bir,один,ایک,một trong những,un
اثنين,dva,две,dos,两个,兩個,dva,dva,to,twee,two,kaks,kaksi,deux,zwei,δύο,de,שני,दो,ob tug,két,dua,due,2 つ,mbili,cha',,2,divi,du,dua,żewġ,ka'atúul,to,yoho,دو,dwa,dois,două,два,два,dva,dve,dve,dos,två,สอง,iki,два,دو,hai,dau
ثلاثة,tri,три,tres,三,三,tri,tři,tre,drie,three,kolm,kolme,trois,drei,τρεις,twa,שלוש,तीन,peb,három,tiga,tre,3,tatu,wej,,3,trīs,trys,tiga,Tlieta,óoxp'éel,tre,hñu,سه,trzy,três,trei,три,три,tri,tri,tri,tres,tre,สาม,Üç,три,تین,ba,tri
أربعة,četiri,четири,quatre,四,四,četiri,čtyři,fire,vier,four,neli,neljä,quatre,vier,τέσσερις,kat,ארבע,चार,plaub,négy,empat,quattro,4 つ,nne,loS,,4,četri,keturi,empat,' erba ',Kanp'éel,fire,ma goho,چهار,cztery,quatro,patru,четыре,четири,četiri,štyri,štiri,cuatro,fyra,สี่,dört,чотири,چار,bốn,pedwar
الخمس,pet,пет,cinc,五,五,pet,pět,fem,vijf,five,viie,viisi,cinq,fünf,πέντε,senk,חמש,पांच,tsib,öt,lima,cinque,5,tano,vagh,,5,pieci,penki,lima,ħames,jo'op'éel,fem,ku̲t'a,پنج,pięć,cinco,cinci,пять,пет,pet,päť,pet,cinco,fem,ห้า,beş,п'ять,پانچ,năm,pum
ستة,šest,шест,sis,六,六,šest,šest,seks,zes,six,kuus,kuusi,six,sechs,έξι,sis,6,छह,rau,hat,enam,Sei,6,sita,jav,,6,seši,šeši,enam,sitt,6,seks,'rato,شش,sześć,seis,şase,шесть,6,6,šesť,šest,seis,sex,หก,altı,шість,چھ,Sáu,chwe
سبعة,sedam,седем,set,七,七,sedam,sedm,syv,zeven,seven,seitse,seitsemän,sept,sieben,επτά,sèt,שבע,सात,xya,hét,tujuh,sette,7,saba,Soch,,7,septiņi,septyni,tujuh,sebat,Ukp'éel,syv,yoto,هفت,siedem,sete,şapte,семь,седам,sedam,sedem,sedem,siete,sju,เจ็ด,yedi,сім,سات,Bảy,saith
ثمانية,osam,осем,vuit,八,八,osam,osm,otte,acht,eight,kaheksa,kahdeksan,huit,acht,οκτώ,ywit,שמונה,आठ,yim,nyolc,delapan,otto,8,nane,chorgh,,8,astoņi,aštuoni,lapan,tmien,ocho,åtte,ocho,هشت,osiem,oito,opt,восемь,осам,osam,osem,osem,ocho,åtta,แปด,sekiz,вісім,آٹھ,Tám,wyth
تسعة,devet,девет,nou,九,九,devet,devět,ni,negen,nine,üheksa,yhdeksän,neuf,neun,εννέα,nef,תשע,नौ,cuaj,kilenc,sembilan,nove,9,tisa,Hut,,9,deviņi,devyni,Sembilan,disa,Bolontúul,ni,gu̲to,نه,dziewięć,nove,nouă,девять,девет,devet,deväť,devet,nueve,nio,เก้า,dokuz,дев'ять,نو,chín,naw
عشرة,deset,десет,deu,十,十,deset,deset,ti,tien,ten,kümme,kymmenen,dix,zehn,δέκα,dis,10,दस,kaum,tíz,sepuluh,dieci,10,kumi,wa'maH,,10,desmit,dešimt,sepuluh,għaxar,Lajun,ti,'re̲t'a,ده,dziesięć,dez,zece,десять,десет,deset,desať,deset,diez,tio,สิบ,on,десять,دس,Mười,deg
